"Last Name","First Name","Nat","Age","Games_Played","Goals","Assists","Salary"
"Koivu","Mikko","FIN",34,82,14,31,9180000
"Komarov","Leo","FIN",31,74,7,12,2950000
"Konecny","Travis","CAN",20,81,24,23,925000
"Kopitar","Anze","SVN",30,82,35,57,1.3e+07
"Kossila","Kalle","FIN",24,10,1,1,925000
"Kreider","Chris","USA",26,58,16,21,5e+06
"Krejci","David","CZE",31,64,17,27,7500000
"Kronwall","Niklas","SWE",37,79,4,23,3500000
"Krug","Torey","USA",26,76,14,45,5500000
"Kruger","Marcus","SWE",27,48,1,5,3475000
"Kucherov","Nikita","RUS",24,80,39,61,4500000
"Kuhnhackl","Tom","DEU",26,69,2,6,660000
"Kukan","Dean","CHE",24,11,0,4,7e+05
"Kulak","Brett","CAN",24,71,2,6,650000
"Kulemin","Nikolay","RUS",31,13,1,2,5250000
"Kulikov","Dmitry","RUS",27,62,3,8,4333333
"Kunin","Luke","USA",20,19,2,2,925000
"Kunitz","Chris","CAN",38,82,13,16,2e+06
"Kuokkanen","Janne","FIN",19,4,0,0,792500
"Kuraly","Sean","USA",25,75,6,8,925000
"Kuznetsov","Evgeny","RUS",25,79,27,56,1e+07
"Labanc","Kevin","USA",22,77,11,29,742500
"Ladd","Andrew","CAN",32,73,12,17,7500000
"LaDue","Paul","USA",25,12,3,1,874125
"Laich","Brooks","CAN",34,12,0,1,NA
"Laine","Patrik","FIN",19,82,44,26,925000
"Landeskog","Gabriel","SWE",25,78,25,37,6e+06
"Lappin","Nick","USA",25,6,1,0,842500
"Larkin","Dylan","USA",21,82,16,47,925000
"Larsson","Adam","SWE",25,63,4,9,1400000
"Larsson","Johan","SWE",25,80,4,13,4500000
"Lashoff","Brian","USA",27,1,0,0,650000
"Laughton","Scott","CAN",23,81,10,10,875000
"Lazar","Curtis","CAN",22,65,2,10,850000
"Leddy","Nick","USA",26,80,10,32,5e+06
"Lee","Anders","USA",27,82,40,22,4500000
"Lehkonen","Artturi","FIN",22,66,12,9,925000
"Lehtera","Jori","FIN",30,62,3,5,4700000
"Leier","Taylor","CAN",23,39,1,4,806558
"Leipsic","Brendan","CAN",23,58,5,17,650000
"Leivo","Josh","CAN",24,16,1,3,650000
"Lemieux","Brendan","USA",21,9,1,0,892500
"Lernout","Brett","CAN",22,18,0,1,650000
"Letang","Kris","CAN",30,79,9,42,7250000
"Letestu","Mark","CAN",32,80,9,14,1800000
"Lettieri","Vinni","USA",22,19,1,4,925000
"Lewis","Trevor","USA",31,68,14,12,2e+06
"Liambas","Mike","CAN",28,7,0,1,650000
"Lindberg","Oscar","SWE",26,63,9,2,1600000
"Lindblom","Oskar","SWE",21,23,2,4,925000
"Lindell","Esa","FIN",23,80,7,20,2200000
"Lindholm","Anton","SWE",23,48,0,4,6e+06
"Lindholm","Elias","SWE",23,81,16,28,2900000
"Lindholm","Hampus","SWE",24,69,13,18,742500
"Little","Bryan","CAN",30,82,16,27,5e+06
"Lomberg","Ryan","CAN",23,7,0,1,710000
"Lovejoy","Ben","USA",33,57,2,6,2750000
"Lowe","Keegan","USA",24,2,0,0,650000
"Lowry","Adam","USA",24,45,8,13,1250000
"Lucic","Milan","CAN",29,82,10,24,8e+06
"Maatta","Olli","FIN",23,82,7,22,4083300
"MacDermid","Kurtis","CAN",23,34,1,3,650000
"MacDonald","Andrew","CAN",31,66,6,15,5250000
"MacKenzie","Derek","CAN",36,75,3,11,1650000
"MacKinnon","Nathan","CAN",22,74,39,58,5750000
"Malgin","Denis","CHE",21,51,11,11,715000
"Malkin","Evgeni","RUS",31,78,42,56,9500000
"Malone","Brad","CAN",28,7,0,0,650000
"Mamin","Maxim","RUS",23,26,3,1,732500
"Mangiapane","Andrew","CAN",21,10,0,0,730000
"Manning","Brandon","CAN",27,65,7,12,1e+06
"Manson","Josh","CAN",26,80,7,30,825000
"Mantha","Anthony","CAN",23,80,24,24,832500
"Marchand","Brad","CAN",29,68,34,51,8e+06
"Marchessault","Jonathan","CAN",27,77,27,48,750000
"Marincin","Martin","SVK",25,2,0,0,1300000
"Marleau","Patrick","CAN",38,82,27,20,8500000
"Marner","Mitchell","CAN",20,82,22,47,925000
"Maroon","Patrick","USA",29,74,17,26,2100000
